Provinsi;Pengangguran_2024;Pengangguran_2025
ACEH;147899;148803
SUMATERA UTARA;406092;409230
SUMATERA BARAT;118504;179725
RIAU;152740;132969
JAMBI;82510;84475
SUMATERA SELATAN;139399;181732
BENGKULU;36617;36992
LAMPUNG;209497;206804
KEP. BANGKA BELITUNG;40199;33224
KEP. RIAU;78396;75214
DKI JAKARTA;330102;338394
JAWA BARAT;1692044;1807211
JAWA TENGAH;822086;947248
DI YOGYAKARTA;72236;71192
JAWA TIMUR;818814;894495
BANTEN;470890;412713
BALI;49355;43131
NUSA TENGGARA BARAT;98240;102629
NUSA TENGGARA TIMUR;86782;99272
KALIMANTAN BARAT;118460;123374
KALIMANTAN TENGAH;54984;52049
KALIMANTAN SELATAN;87376;88499
KALIMANTAN TIMUR;104374;113166
KALIMANTAN UTARA;15929;15232
SULAWESI UTARA;79049;83130
SULAWESI TENGAH;46118;49605
SULAWESI SELATAN;243562;238797
SULAWESI TENGGARA;40530;46716
GORONTALO;19512;19817
SULAWESI BARAT;20962;25021
MALUKU;59042;58967
MALUKU UTARA;26724;29532
PAPUA BARAT;21395;12965
PAPUA BARAT DAYA;29856;21289
PAPUA;54399;35316
PAPUA SELATAN;38914;11176
PAPUA TENGAH;25201;30963
PAPUA PEGUNUNGAN;554;17240
